"rank","summit","height_m","year_first_ascent"
"1","Aoraki (Mount Cook)","3724","1894"
"2","Mount Tasman","3497","1895"
"3","Malte Brun","3199","1894"
"4","Mount Sefton","3151","1895"
"5","Mount Elie de Beaumont","3109","1906"
"6","La Perouse","3078","1906"
"7","Douglas Peak","3077","1907"
"8","Minarets","3040","1897"
"9","Mount Aspiring (Tititea)","3033","1909"
"10","Mount Hamilton","3025","1909"
"11","Mount Chudleigh","2966","1911"
"12","Tapuae-o-Uenuku","2885","1864"
"13","Mount Alarm","2877","1928"
"14","Mount D'Archiac","2875","1910"
"15","Mount Earnslaw (Pikirakatahi)","2830","1890"
"16","Hochstetter Dome","2827","1883"
"17","Mount Hutton","2822","1914"
"18","Mount Sibbald","2811","1917"
"19","Ruapehu (Tahurangi Peak)","2797","1879"
"20","Mount Arrowsmith","2781","1912"
"21","The Nun's Veil","2749","1905"
"22","Mount Burns","2746","1909"
"23","Mount Tūtoko","2723","1924"
"24","Jagged Peak","2706","1931"
"25","Mount Hopkins","2678","1914"
"26","Mount Mannering","2669","1914"
"26","Brodrick Peak","2669","1917"
"28","Mount Whitcombe","2650","1931"
"29","Mount Ward","2645","1934"
"30","Rob Roy Peak","2644","1935"
"31","Mount Dechen","2643","1935"
"32","Mount Hooker","2640","1928"
"33","Mount Moffat","2638","1933"
"34","Red Peak","2637","1933"
"35","The Abbot","2630",""
"36","Mount Sealy","2627","1895"
"37","Mitre Peak","2621","1895"
"38","Mount Edward","2620","1914"
"39","Mount Evans","2620","1934"
"40","Mount Lucia","2617","1953"
"41","Sir William Peak","2610","1930"
"42","Manakau","2608","1874"
"43","Mount Avalanche","2606","1935"
"44","Dilemma Peak","2602","1914"
"45","Mount Conrad","2598","1914"
"46","Mount Glenmary","2590","1934"
"47","Te ao Whekere","2590",""
"48","Mount Loughnan","2590","1935"
"49","Mount Head","2585","1914"
"50","Mount Forbes","2583","1912"
"51","The Warrior","2580","1932"
"52","O'Leary Peak","2570","1890"
"53","Mount Acland","2562","1914"
"54","Mount Strachan","2561","1935"
"55","Mount Wolseley","2558","1920"
"56","Mauka Atua","2557","1948"
"57","Mount William Grant","2556",""
"58","The South Thumb","2546","1922"
"59","Newton Peak","2543","1933"
"60","Mount Williams","2538","1934"
"61","Mount Pollux","2536","1934"
"62","Mount Madeline","2536","1920"
"63","Mount Maori","2535","1935"
"64","Centaur Peaks E","2525","1914"
"65","Mount Taranaki (Egmont)","2518","1839"
"66","Mount Castor","2518","1937"
"67","Mount Lydia","2517",""
"68","Mount Brewster","2516","1929"
"69","Malcolm Peak","2512","1911"
"70","Mount Tewha (Headlong Peak)","2510","1958"
"71","Alma","2510","1923"
"72","Mount Huxley","2505","1939"
"73","Mount Ian","2502","1933"
"74","Dun Fiunary","2500","1939"
"75","Mount Glencairn","2499","1936"
"76","Mount Tyndall","2496","1936"
"77","McClure Peak","2486","1925"
"78","Blair Peak","2486","1932"
"79","Lauper Peak","2485","1914"
"80","Mount Ferguson","2480",""
"81","Mount Christina","2474","1925"
"82","Mount Percy Smith","2465","1936"
"83","Hells Gates","2459",""
"84","Mount Barth","2456","1936"
"85","Fettes Peak","2451","1935"
"86","Pt 2447","2447",""
"87","Climax Peak","2446",""
"88","Mount Kensington","2444","1935"
"89","Pt 2444","2444",""
"90","Mount Jackson","2434","1934"
"91","Kaimakamaka","2431",""
"92","Mount Radove","2430",""
"93","Mount Lambert","2430","1933"
"94","Pt 2428","2428",""
"95","Mount Farrar","2424","1935"
"96","The Marquee","2421","1932"
"97","Tarahaka","2414",""
"98","Soloist Peak","2414",""
"99","Mount Allan Dick (Pt 2413)","2413","1953"
"100","Mount Blackburn","2409","1903"
"101","Mount Murchison","2408","1913"
"102","Mount Symons","2408",""
"103","Mount Chevalier","2404","1941"
"104","Cloudy Peak","2403","1931"
"105","Trireme Peak NW","2403","1935"
